"Date","Chicago; Precipitation","Chicago; Temperature (max)","Chicago; Temperature (min)","Dallas; Precipitation","Dallas; Temperature (max)","Dallas; Temperature (min)","Detroit; Precipitation","Detroit; Temperature (max)","Detroit; Temperature (min)","Los Angeles; Precipitation","Los Angeles; Temperature (max)","Los Angeles; Temperature (min)","New York; Precipitation","New York; Temperature (max)","New York; Temperature (min)","San Francisco; Precipitation","San Francisco; Temperature (max)","San Francisco; Temperature (min)","San Jose; Precipitation","San Jose; Temperature (max)","San Jose; Temperature (min)","Seattle; Precipitation","Seattle; Temperature (max)","Seattle; Temperature (min)"
"2010-01-27",0.0,-3.3,-12.8,0.0,18.9,8.3,0.0,-2.8,-7.8,0.0,18.9,11.7,0.0,3.9,-0.6,0.0,12.2,6.1,0.0,13.3,7.2,0.0,9.4,1.7
"2010-01-28",0.3,-4.4,-13.9,52.6,14.4,6.1,0.0,-3.3,-12.8,0.0,19.4,7.8,2.3,5.6,-6.7,0.0,13.3,7.8,0.0,15.0,6.7,0.0,12.8,5.0
"2010-01-29",0.0,-8.9,-15.6,18.0,6.1,-1.1,0.0,-6.1,-13.9,0.0,17.8,9.4,0.0,-5.0,-8.9,4.3,15.6,7.8,6.4,16.7,6.7,0.5,13.3,6.7
"2010-01-30",0.3,-6.1,-15.0,0.0,0.0,-2.8,0.0,-6.1,-12.2,0.0,15.0,8.9,0.0,-6.7,-10.6,0.0,14.4,6.7,0.0,15.6,5.0,4.6,8.9,6.1
"2010-01-31",0.0,-4.4,-10.0,0.0,3.9,-1.1,0.0,-2.2,-11.7,0.0,16.7,7.8,0.0,-1.1,-10.0,0.0,12.8,8.3,0.0,16.1,8.3,2.0,9.4,7.2
"2010-02-01",0.0,-0.6,-11.1,0.0,8.3,-0.6,0.0,-2.2,-10.6,0.0,17.8,9.4,0.0,1.7,-3.9,0.0,14.4,8.3,0.0,17.2,5.6,2.0,9.4,4.4
"2010-02-02",2.0,-0.6,-8.3,0.0,11.1,4.4,0.0,-1.7,-7.2,0.0,16.1,10.6,0.8,0.6,-2.8,0.0,13.3,8.3,0.5,15.0,7.8,0.3,12.2,4.4
"2010-02-03",0.0,2.2,-3.9,2.0,7.8,3.3,0.0,1.1,-2.8,0.0,18.3,9.4,1.5,3.9,-1.7,0.0,15.6,6.7,0.0,17.2,6.1,7.9,10.0,5.0
"2010-02-04",0.0,-1.1,-8.3,7.4,6.7,5.6,0.0,0.6,-7.2,0.0,17.2,11.7,0.0,2.8,-2.2,9.9,15.0,10.0,9.7,15.0,9.4,2.0,13.9,5.0
"2010-02-05",0.0,1.1,-3.9,0.3,14.4,3.9,0.0,-0.6,-3.3,35.3,13.3,11.7,0.0,2.2,-1.7,0.0,16.7,8.3,0.3,18.3,9.4,1.8,14.4,7.2
"2010-02-06",0.5,1.7,-3.9,0.0,7.2,1.7,0.0,-2.2,-7.2,23.4,15.0,11.1,0.0,0.6,-6.7,4.8,13.9,10.0,9.7,15.0,7.8,3.3,13.3,6.1
"2010-02-07",0.0,-1.1,-3.9,1.3,6.7,3.9,0.0,-0.6,-7.8,0.0,15.6,6.7,0.0,1.1,-8.3,0.0,13.9,10.0,0.0,14.4,7.2,3.8,9.4,6.7
"2010-02-08",0.0,1.1,-5.6,24.4,6.1,3.9,0.0,1.7,-10.6,0.0,15.6,8.9,0.0,2.8,-5.0,1.3,12.8,8.9,0.3,12.8,6.1,0.0,9.4,5.0
"2010-02-09",5.1,-0.6,-5.0,0.0,6.1,-3.3,2.3,-3.9,-5.6,5.1,13.9,6.7,0.0,5.6,-2.2,5.1,13.3,8.3,5.1,13.9,6.7,0.0,7.8,2.2
"2010-02-10",15.2,-1.1,-6.1,0.0,4.4,0.0,1.8,-1.7,-5.0,0.0,16.7,5.0,33.8,1.1,-1.1,0.0,13.9,7.8,0.0,15.6,3.9,2.8,6.7,-0.6
"2010-02-11",0.0,-1.7,-12.8,26.4,3.9,0.0,0.0,-1.1,-6.1,0.0,16.7,8.3,0.0,2.8,-2.2,0.0,15.0,7.8,0.0,16.7,4.4,6.1,12.2,6.1
"2010-02-12",0.0,0.0,-16.7,4.1,2.8,0.0,0.0,-2.2,-6.7,0.0,16.7,9.4,0.0,2.8,-3.3,0.5,16.7,11.1,0.0,17.8,10.0,9.7,12.2,6.1
"2010-02-13",0.0,1.7,-15.0,0.0,6.1,0.0,0.0,-1.7,-5.0,0.0,20.0,9.4,0.0,0.0,-4.4,0.0,16.1,11.1,0.0,18.3,7.2,5.1,11.1,7.2
"2010-02-14",0.0,0.6,-9.4,0.0,6.1,-0.6,0.0,0.6,-3.3,0.0,25.0,10.6,0.0,3.9,-2.2,0.0,15.6,8.9,0.0,15.6,7.2,10.7,11.7,5.6
"2010-02-15",0.0,0.6,-13.3,0.0,7.8,-1.7,0.0,-1.1,-3.9,0.0,26.1,12.2,0.3,4.4,-2.8,0.0,16.7,8.9,0.0,19.4,6.7,1.8,12.8,2.8
"2010-02-16",0.5,-0.6,-7.2,0.0,10.6,-2.8,0.0,-1.1,-5.6,0.0,26.7,11.7,10.9,0.6,-1.7,0.0,18.3,10.0,0.0,18.9,11.1,5.3,12.2,6.1
"2010-02-17",0.0,2.2,-4.4,0.0,12.2,-2.8,0.0,1.7,-3.9,0.0,23.9,12.2,0.0,1.7,-3.3,0.0,18.3,8.3,0.0,20.6,8.3,0.0,10.6,3.9
"2010-02-18",0.0,2.2,-1.7,0.0,17.2,0.0,0.0,3.3,-1.7,0.0,16.7,12.8,0.0,4.4,0.0,0.0,14.4,10.0,0.0,15.0,7.8,0.0,15.0,3.9
"2010-02-19",0.0,5.6,-8.3,0.0,15.0,6.7,0.0,4.4,-4.4,2.5,15.6,11.7,0.0,6.1,1.7,0.0,13.9,10.0,0.5,15.0,9.4,0.0,15.0,3.9
"2010-02-20",2.8,6.1,-5.0,0.0,16.7,11.1,0.0,5.6,-4.4,1.5,15.6,10.6,0.0,6.7,1.7,0.0,13.3,10.0,0.3,14.4,10.0,0.0,13.9,1.7
"2010-02-21",0.0,3.3,-0.6,1.5,19.4,5.0,0.0,5.6,-1.1,0.5,16.7,11.7,0.0,7.8,0.6,10.4,13.3,10.0,6.9,13.3,9.4,0.0,13.9,2.2
"2010-02-22",15.5,2.2,-0.6,0.0,5.0,2.2,8.1,0.0,-2.2,0.0,21.1,11.7,0.8,7.2,-1.7,0.0,15.6,9.4,0.0,15.6,7.2,0.0,12.2,0.6
"2010-02-23",0.3,1.1,-3.3,0.0,5.6,0.6,1.8,1.1,-7.2,0.0,18.3,7.8,30.5,3.3,1.7,17.5,13.3,9.4,8.6,11.7,7.2,4.1,8.9,2.8
"2010-02-24",0.8,3.3,-5.6,0.0,8.9,-1.1,0.3,-1.1,-8.3,0.0,16.7,11.1,10.7,5.6,2.2,2.0,13.9,11.1,0.3,17.8,9.4,8.4,10.6,5.6
"2010-02-25",4.6,0.0,-7.8,0.0,14.4,1.7,0.0,-2.2,-5.6,0.0,18.3,11.7,50.8,3.3,-2.8,0.0,17.2,10.0,0.0,19.4,8.9,1.3,12.2,6.7
"2010-02-26",0.0,0.6,-8.9,0.3,10.6,3.9,1.3,-1.1,-5.0,0.0,21.7,12.2,29.7,0.6,-3.3,13.7,16.1,11.1,9.7,16.1,10.0,11.2,11.1,7.8
"2010-02-27",0.3,-1.1,-7.8,0.0,17.8,0.6,0.3,2.2,-1.1,13.7,16.1,10.6,0.3,3.3,-1.7,3.3,15.0,10.0,2.3,16.7,8.9,2.0,12.2,7.8
"2010-02-28",0.0,2.8,-1.1,0.0,18.3,3.9,0.0,5.6,-0.6,0.0,17.2,7.8,0.0,4.4,0.6,0.0,16.7,8.3,0.0,19.4,6.7,0.0,13.3,6.1
"2010-03-01",0.0,4.4,-1.1,14.7,11.7,5.6,0.0,5.6,-3.9,0.0,18.3,10.0,0.0,8.9,2.2,0.0,15.0,10.6,0.0,16.7,8.9,0.0,13.9,5.6
"2010-03-02",0.0,3.3,-1.7,0.0,12.2,1.7,0.0,2.8,-3.9,0.0,17.2,12.8,0.3,8.3,2.2,12.2,14.4,10.6,12.4,15.0,7.8,2.3,13.3,7.8
"2010-03-03",0.0,1.7,-5.6,0.0,16.7,0.6,0.0,5.6,-2.8,0.5,16.7,12.2,1.8,5.0,1.1,22.6,13.9,7.2,21.1,12.8,6.1,0.0,12.8,5.0
"2010-03-04",0.0,3.9,-9.4,0.0,20.0,5.0,0.0,5.6,-3.9,0.3,15.6,10.6,0.0,8.3,1.7,0.0,13.3,5.0,0.0,14.4,4.4,1.3,11.7,5.6
"2010-03-05",0.0,7.2,-6.7,0.0,21.1,9.4,0.0,5.6,-3.9,0.0,17.8,8.3,0.0,9.4,1.1,0.0,13.9,6.7,0.0,15.6,4.4,0.0,13.9,2.8
